secID,publishDate,endDate,tRevenue,revenue,COGS,operateProfit,TProfit,NIncome,NIncomeAttrP,basicEPS,sellExp,adminExp
000069.XSHE,2024-03-30,2022-12-31,76767105130.88,76767105130.88,59236660300.79,-9998077201.15,-9884675714.4,-12766421012.43,-10904910148.41,-1.33,3198308156.44,2946753111.0
000069.XSHE,2023-03-31,2022-12-31,76767105130.88,76767105130.88,59236660300.79,-9998077201.15,-9884675714.4,-12767140436.4,-10905405257.13,-1.3296,3198308156.44,2946753111.0
000069.XSHE,2023-03-31,2021-12-31,102583650893.66,102583650893.66,75762883782.2,10452024592.82,10490578916.87,7151816808.32,3799112368.32,0.4727,3406065708.31,3001278227.53
000069.XSHE,2022-03-31,2021-12-31,102583650893.66,102583650893.66,75762883782.2,10452024592.82,10490578916.87,7151816808.32,3799112368.32,0.4727,3406065708.31,3001278227.53
000100.XSHE,2025-04-29,2024-12-31,164962838000.0,164822833000.0,145722436000.0,-4097972000.0,-3953805000.0,-4156142000.0,1564112000.0,0.0842,2054073000.0,13879577000.0
000100.XSHE,2025-04-29,2023-12-31,174446172000.0,174366657000.0,149598594000.0,5184319000.0,5051824000.0,4780784000.0,2214934000.0,0.1195,1692690000.0,14306085000.0
000100.XSHE,2024-04-30,2023-12-31,174446172000.0,174366657000.0,148767597000.0,5184319000.0,5051824000.0,4780784000.0,2214934000.0,0.1195,2523687000.0,14306085000.0
000100.XSHE,2024-04-30,2022-12-31,166632146000.0,166552786000.0,151925489000.0,419010000.0,1057051000.0,1788059000.0,261319000.0,0.0174,1950528000.0,12174249000.0
000100.XSHE,2023-03-31,2022-12-31,166632146000.0,166552786000.0,151925489000.0,419010000.0,1057051000.0,1788059000.0,261319000.0,0.0191,1950528000.0,12174249000.0
000100.XSHE,2023-03-31,2021-12-31,163807783000.0,163657700000.0,131156314000.0,17372051000.0,17583577000.0,14975529000.0,10064253000.0,0.7468,1919285000.0,11629661000.0
000100.XSHE,2022-04-28,2021-12-31,163690643000.0,163540560000.0,131058658000.0,17352567000.0,17564093000.0,14958968000.0,10057444000.0,0.7463,1919285000.0,11629661000.0
000157.XSHE,2025-03-25,2024-12-31,45478184506.84,45478184506.84,32668224799.37,4325551917.84,4383055138.23,4008812478.08,3520377530.14,0.41,3720728855.2,5010507483.86
000157.XSHE,2025-03-25,2023-12-31,47074853106.11,47074853106.11,34302567031.22,4152452769.28,4227560155.81,3770921694.76,3506011590.67,0.43,3364165947.18,5344198907.83
000157.XSHE,2024-03-29,2023-12-31,47074853106.11,47074853106.11,34109325725.79,4152452769.28,4227560155.81,3770921694.76,3506011590.67,0.43,3557407252.61,5344198907.83
000157.XSHE,2024-03-29,2022-12-31,41631497729.32,41631497729.32,32543063378.54,2386307454.13,2470660463.84,2384638065.19,2306047166.93,0.27,2635383786.74,4081599969.98
000157.XSHE,2023-03-31,2022-12-31,41631497729.32,41631497729.32,32543063378.54,2386307454.13,2470660463.84,2384638065.19,2306047166.93,0.27,2635383786.74,4081599969.98
000157.XSHE,2023-03-31,2021-12-31,67130626817.29,67130626817.29,51280066956.97,7231108313.73,7323662613.6,6386025693.63,6269768140.19,0.76,3473122732.74,5538425001.73
000157.XSHE,2022-03-31,2021-12-31,67130626817.29,67130626817.29,51280066956.97,7231108313.73,7323662613.6,6386025693.63,6269768140.19,0.76,3473122732.74,5538425001.73
000166.XSHE,2025-03-29,2024-12-31,24735044127.97,24735044127.97,17339252467.33,7395791660.64,7336724112.22,6250514391.62,5210661908.61,0.21,,
000166.XSHE,2025-03-29,2023-12-31,21500668661.21,21500668661.21,15344091622.14,6156577039.07,6092082309.29,5475202954.22,4606340168.13,0.18,,
000166.XSHE,2024-03-29,2023-12-31,21500668661.21,21500668661.21,15344091622.14,6156577039.07,6092082309.29,5475202954.22,4606340168.13,0.18,,
000166.XSHE,2024-03-29,2022-12-31,20609644632.44,20609644632.44,17484232291.51,3125412340.93,3049962744.21,3139547308.03,2789067875.31,0.11,,
000166.XSHE,2023-03-31,2022-12-31,20609644632.44,20609644632.44,17484232291.51,3125412340.93,3049962744.21,3139547308.03,2789067875.31,0.11,,
000166.XSHE,2023-03-31,2021-12-31,34307428053.23,34307428053.23,23176601856.19,11130826197.04,11079122259.63,9534587317.87,9398369399.7,0.38,,
000166.XSHE,2022-03-31,2021-12-31,34307428053.23,34307428053.23,23176601856.19,11130826197.04,11079122259.63,9534587317.87,9398369399.7,0.38,,
000301.XSHE,2025-04-29,2024-12-31,137674557166.85,137674557166.85,126062118131.07,-3470528891.53,-3713682420.8,-2283873644.82,-2296841255.74,-0.35,334382120.56,1913231603.55
000301.XSHE,2025-04-29,2023-12-31,140439738058.63,140439738058.63,124613404201.31,243863557.83,310970715.11,711193754.07,717031594.87,0.11,334162820.96,1535713258.23
000301.XSHE,2024-04-26,2023-12-31,140439738058.63,140439738058.63,124613404201.31,243863557.83,310970715.11,711193754.07,717031594.87,0.11,334162820.96,1535713258.23
000301.XSHE,2024-04-26,2022-12-31,63872900064.79,63872900064.79,58864403011.43,500886016.41,531793766.62,599592142.23,611000794.98,0.1,191226522.38,1179159921.21
000301.XSHE,2023-04-18,2022-12-31,63822315669.45,63822315669.45,58929661036.42,415629032.26,446545817.71,542697122.26,548162571.15,0.09,216957095.21,1155179106.48
000301.XSHE,2023-04-18,2021-12-31,52690217451.46,52690217451.46,44000478281.97,6048113285.48,6090090901.58,5117605310.74,4574963214.07,0.77,155396328.6,1078872997.66
000301.XSHE,2022-04-19,2021-12-31,51722179697.92,51722179697.92,43073203645.89,6016754081.25,6058731697.35,5086246106.51,4543604009.84,0.76,155396328.6,1069473063.59
000333.XSHE,2025-03-29,2024-12-31,409084266000.0,407149600000.0,299584935000.0,46393752000.0,46689746000.0,38757214000.0,38537237000.0,5.44,38753649000.0,30738635000.0
000333.XSHE,2025-03-29,2023-12-31,373709804000.0,372037280000.0,276409404000.0,40317441000.0,40277163000.0,33745352000.0,33719935000.0,4.93,31952844000.0,28060219000.0
000333.XSHE,2024-03-28,2023-12-31,373709804000.0,372037280000.0,273481373000.0,40317441000.0,40277163000.0,33745352000.0,33719935000.0,4.93,34880875000.0,28060219000.0
000333.XSHE,2024-03-28,2022-12-31,345708706000.0,343917531000.0,260538701000.0,34763272000.0,34955931000.0,29810231000.0,29553507000.0,4.34,28716121000.0,24201170000.0
000333.XSHE,2023-04-29,2022-12-31,345708706000.0,343917531000.0,260538701000.0,34763272000.0,34955931000.0,29810231000.0,29553507000.0,4.34,28716121000.0,24201170000.0
000333.XSHE,2023-04-29,2021-12-31,343360825000.0,341233208000.0,264525999000.0,33281195000.0,33717544000.0,29015376000.0,28573650000.0,4.17,28647344000.0,22281190000.0
000333.XSHE,2022-04-30,2021-12-31,343360825000.0,341233208000.0,264525999000.0,33281195000.0,33717544000.0,29015376000.0,28573650000.0,4.17,28647344000.0,22281190000.0
000338.XSHE,2025-03-28,2024-12-31,215690504589.82,215690504589.82,167304917397.32,17427954695.34,17321522297.85,14277681970.39,11403288984.59,1.31,12485159751.87,18558907297.03
000338.XSHE,2025-03-28,2023-12-31,213958475631.13,213958475631.13,170437251422.34,12905241360.87,13151277830.51,11211614275.25,9013894024.19,1.04,11815113948.93,17501502336.2
000338.XSHE,2024-03-26,2023-12-31,213958475631.13,213958475631.13,168842269935.85,12905241360.87,13151277830.51,11211614275.25,9013894024.19,1.04,13410095435.42,17501502336.2
000338.XSHE,2024-03-26,2022-12-31,175157535625.82,175157535625.82,144010596212.12,5834032544.9,6085207005.22,5682691350.97,4905013042.11,0.57,10661211027.82,15823491117.76
000338.XSHE,2023-03-31,2022-12-31,175157535625.82,175157535625.82,144010596212.12,5834032544.9,6085207005.22,5682691350.97,4905013042.11,0.57,10661211027.82,15823491117.76
000338.XSHE,2023-03-31,2021-12-31,220215066328.86,220215066328.86,178434041284.59,14289063855.29,14459535247.55,12184019256.09,9492605156.58,1.13,11490071056.83,15981320114.39
000338.XSHE,2022-03-31,2021-12-31,203547703297.37,203547703297.37,163946764918.08,13888991437.88,14054791446.56,11561889504.06,9254488225.85,1.1,10902601764.68,14943576076.11
000400.XSHE,2025-04-11,2024-12-31,17089133346.79,17089133346.79,13539026478.09,1391633156.71,1413677511.17,1292177503.62,1116925147.02,1.1018,720403022.83,1477995564.28
000400.XSHE,2025-04-11,2023-12-31,17060896563.04,17060896563.04,13990345488.0,1217141254.15,1235264601.64,1186017918.33,1005384610.79,0.9971,491617653.61,1417366603.99
000400.XSHE,2024-04-11,2023-12-31,17060896563.04,17060896563.04,13990345488.0,1217141254.15,1235264601.64,1186017918.33,1005384610.79,0.9971,491617653.61,1417366603.99
000400.XSHE,2024-04-11,2022-12-31,15029743118.34,15029743118.34,12121669333.52,1090763583.31,1112608640.67,995402138.28,785264078.19,0.7788,432164548.53,1294973754.91
000400.XSHE,2023-04-08,2022-12-31,14917449398.19,14917449398.19,12077476349.68,1072193329.65,1085101481.32,969463652.97,759217152.98,0.7529,427670612.87,1250566489.89
